en	ru	clusters
"""Brazil and World War II: The Forgotten Ally."	Бразилия и Вторая мировая война: забытый союзник (англ.)	World Wars
"""There are strong concerns about Pope Pius XII's political role during World War II which should not be ignored,"" Lauder declared in a statement."	«Существуют серьезные опасения по поводу политической роли Папы Пия XII во время Второй мировой войны, которую нельзя игнорировать», - заявил Лаудер в своем заявлении .	World Wars
"""Women in Saudi Arabia are caught in a system of gender apartheid""."	«Женщины в Саудовской Аравии попадают в систему гендерного апартеида».	Arab world
(2004, March 9) The main bodies providing protection of copyright law and related rights are the Intellectual Property Rights Protection Center (the Law on the Protection of Intellectual Property in Azerbaijan was signed in 1996) and the Republican Agency for the Protection of Copyright and Related Rights.	Основными органами, обеспечивающими защиту авторского права и смежных прав являются Центр обеспечения прав интеллектуальной собственности (Закон о защите интеллектуальной собственности в Азербайджане был принят в 1996 году) и Республиканское Агентство по защите авторского права и смежных прав.	Copyright
"(That is a parody of the low-quality Indian-made ""Victory"" cigarettes, widely smoked in Britain and by British soldiers during World War II."	(Это пародия на низкокачественные индийские сигареты «Победа», широко распространенные в Британии во времена Второй мировой войны.	World Wars
12 October 1992, Dmitry Filippov issued an order to establish in the Russian State Tax Inspection in Saint-Petersburg tax administration investigations` department to solve the problems of prevention, detection and suppression of violations of tax laws and regulations, as well as to provide the safety of the inspection and its employees (and then converted to Federal Tax Police Service of the Russian Federation in St. Petersburg).	10.12.1992 г. Филиппов издает приказ о создании при Государственной налоговой инспекции по Санкт-Петербургу управления налоговых расследований для решения задач по предупреждению, выявлению и пресечению нарушений налогового законодательства, а также обеспечению безопасности деятельности инспекции и её сотрудников (затем преобразована в Федеральную службу налоговой полиции по Санкт-Петербургу.	Russia
15 May 1989 and the Soviet government announced a partial, then the complete withdrawal of 39th Army of the Transbaikal Military District from Mongolia.	15 мая 1989 года советское руководство заявило о частичном, а затем о полном выводе 39-й армии Забайкальского военного округа из Монголии.	Russia
18 During the Famine certain members of the American press corps cooperated with the Soviet government to deny the existence of the Ukrainian Famine.	В течение голода отдельные члены американского журналистского корпуса сотрудничали с советским правительством для отрицания существования украинского голода.	Russia
1916, World War I, the premonition of the revolution.	1916 год, Первая мировая война, предчувствие революции.	World Wars
2014 was the year of a century anniversary since the start of the First World War, the war in which Russian Empire actively participated on the Eastern Front.	2014 год стал годом столетия с момента начала Первой мировой войны, активное участие в которой приняла и Россия, армия которой вела боевые действия на Восточном фронте.	World Wars
246) Lessig outlines five steps that will put us on the path towards more efficient and sound copyright law.	Лессиг выделяет 5 шагов, которые поставят нас на путь более эффективного и действенного закона об авторском праве.	Copyright
2nd floor: Classics of Estonian art from the 18th century until the end of the Second World War.	3 этаж: Классики эстонского искусства с XVIII века до конца Второй мировой войны.	World Wars
35 represented the new generation of hand grenades with which the Regio Esercito faced the Second World War.	35 представляла новое поколение ручных гранат, с которыми Regio Esercito вступила во Вторую мировую войну.	World Wars
64 Australians were awarded the Victoria Cross during the First World War.	64 австралийца были награждены крестом Виктории во время Первой мировой войны.	World Wars
A 2006 retrospective study of 14,564 Medicare recipients showed that warfarin use for more than one year was linked with a 60% increased risk of osteoporosis-related fracture in men; there was no association in women.	В ретроспективном исследовании 2006 года 14564 пациентов, принимавших препарат, показало, что применение варфарина более 1 года было связано с повышением риска переломов, связанных с остеопорозом, на 60 % у мужчин; подобная связь у женщин не была обнаружена.	Medical
A 2009 report by the UN questioned whether any international law ratified by the government has ever been applied inside Saudi Arabia.	В 2009 году в докладе ООН говорилось о том, что международные права, ратифицированные правительством вовсе не соблюдаются внутри Саудовской Аравии.	Arab world
A 2010 meta-analysis supported the increased risk of suicide associated with gabapentin use.	Мета-анализ в 2010 году подтвердил повышенный риск самоубийства, связанный с использованием габапентина.	Medical
A Garden of Remembrance, which was subsequently added to the site, is used by many surviving World War II Commandos as the designated final resting place for their ashes.	Сад памяти, впоследствии устроенный у памятника, используется многими выжившими коммандос Второй мировой войны в качестве места для последнего упокоения своего праха.	World Wars
